classe,agente_id,ano,capital,n_im,vivo
0,12,16,0.0,0,True
0,12,17,0.0,0,True
0,12,18,0.0,0,True
0,12,19,0.0,0,True
0,12,20,0.0,0,True
0,12,21,0.0,0,True
0,12,22,0.0,0,True
0,12,23,0.0,0,True
0,12,24,0.0,0,True
0,12,25,0.0,0,True
0,12,26,0.0,0,True
0,12,27,0.0,0,True
0,12,28,0.0,0,True
0,12,29,0.0,1,True
0,12,30,3004.8830797046944,1,True
0,12,31,6069.863821003482,1,True
0,12,32,9196.144177128246,1,True
0,12,33,12384.950140375506,1,True
0,12,34,15637.53222288771,1,True
0,12,35,18955.165947050158,1,True
0,12,36,22339.152345695857,1,True
0,12,37,25790.81847231447,1,True
0,12,38,29311.517921465453,1,True
0,12,39,32902.63135959946,1,True
0,12,40,36565.56706649614,1,True
0,12,41,40301.76148753076,1,True
0,12,42,44112.67979698607,1,True
0,12,43,47999.81647263049,1,True
0,12,44,51964.6958817878,1,True
0,12,45,56008.87287912825,1,True
0,12,46,60133.93341641551,1,True
0,12,47,64341.49516444851,1,True
0,12,48,68633.20814744217,1,True
0,12,49,73010.75539009571,1,True
0,12,50,77475.85357760232,1,True
0,12,51,82030.25372885907,1,True
0,12,52,86675.74188314094,1,True
0,12,53,40407.47385129833,1,True
0,12,54,0.0,1,True
0,12,55,0.0,1,True
0,12,56,0.0,1,True
0,12,57,0.0,1,True
0,12,58,0.0,1,True
0,12,59,0.0,1,True
0,12,60,0.0,1,True
0,12,61,0.0,1,True
0,12,62,0.0,1,True
0,12,63,0.0,1,True
0,12,64,0.0,1,True
0,12,65,0.0,1,True
0,12,66,0.0,1,True
0,12,67,0.0,1,True
0,12,68,0.0,1,True
0,12,69,0.0,1,True
0,12,70,0.0,1,True
0,12,71,0.0,1,True
0,12,72,0.0,0,False
0,12,73,0.0,0,False
0,12,74,0.0,0,False
0,12,75,0.0,0,False
0,12,76,0.0,0,False
0,12,77,0.0,0,False
0,12,78,0.0,0,False
0,12,79,0.0,0,False
0,12,80,0.0,0,False
0,12,81,0.0,0,False
0,12,82,0.0,0,False
0,12,83,0.0,0,False
0,12,84,0.0,0,False
0,12,85,0.0,0,False
0,12,86,0.0,0,False
0,12,87,0.0,0,False
0,12,88,0.0,0,False
0,12,89,0.0,0,False
0,12,90,0.0,0,False
0,12,91,0.0,0,False
0,12,92,0.0,0,False
0,12,93,0.0,0,False
0,12,94,0.0,0,False
0,12,95,0.0,0,False
0,12,96,0.0,0,False
0,12,97,0.0,0,False
0,12,98,0.0,0,False
0,12,99,0.0,0,False
0,12,100,0.0,0,False
1,7,0,395330.8777495147,2,True
1,7,1,423919.9050839099,2,True
1,7,2,466234.25605450827,2,True
1,7,3,511316.5774709266,2,True
1,7,4,559479.9028779787,2,True
1,7,5,610958.534527302,3,True
1,7,6,668106.6634947896,4,True
1,7,7,731180.5393882793,4,True
1,7,8,798431.8717465078,4,True
1,7,9,870180.5255944692,4,True
1,7,10,946656.1466388172,4,True
1,7,11,1028226.9147787425,4,True
1,7,12,843925.2100012486,5,True
1,7,13,915497.6849462251,5,True
1,7,14,991922.9575093152,5,True
1,7,15,1073586.3569062736,5,True
1,7,16,1160807.8079239686,5,True
1,7,17,1254004.9525269167,5,True
1,7,18,1353538.6323905832,5,True
1,7,19,1460150.315747539,5,True
