ano,populacao,gini_financeiro,gini_total,gini_imobiliario,share_top1,share_top10,share_top50,share_top10_excl_top1,share_top50_excl_top10,p50_riqueza,p90_riqueza,p99_riqueza,p91_riqueza,p92_riqueza,p93_riqueza,p94_riqueza,p95_riqueza,p96_riqueza,p97_riqueza,p98_riqueza,p50_capfin,p90_capfin,p91_capfin,p92_capfin,p93_capfin,p94_capfin,p95_capfin,p96_capfin,p97_capfin,p98_capfin,p99_capfin,preco_imovel,n_total_mercado,n_detidos_total,n_proprietarios,taxa_propriedade,riqueza_media,capital_medio,riqueza_imob_media,divida_media,rent_total_ano,frac_rent_renda,n_renters,riqueza_media_c0,pop_c0,n_imoveis_c0,n_proprietarios_c0,renda_diaria_mediana_c0,riqueza_media_c1,pop_c1,n_imoveis_c1,n_proprietarios_c1,renda_diaria_mediana_c1,riqueza_media_c2,pop_c2,n_imoveis_c2,n_proprietarios_c2,renda_diaria_mediana_c2
20,52586,0.9447,0.878,0.3309,0.6424,0.8948,0.9787,0.2524,0.0839,335609.8184648564,2250679.681613162,56117350.67431009,2485398.1182057164,2754948.851003922,3079438.0452325246,3506959.545195128,4089788.605295748,5117050.271881147,7717999.811065253,19953514.422415726,0.0,998489.049297043,1231166.7714595569,1483700.1825968216,1813035.3556148757,2235866.323791642,2772945.3080649576,3793058.891408742,6290216.283557567,18467866.969684217,54570140.0449275,335610.0,67333,61652,35921,0.6831,2865336.8930228786,2474347.6585134454,393470.05910309457,2480.8245936612716,10697370.0,0.0036,6603,224958.30739885013,39960,25486,25485,71.89793687395576,1876418.8092723722,10205,26742,8372,474.53897427684797,50614794.68988785,2421,9424,2064,2910.665630804215
21,52493,0.9447,0.8823,0.332,0.6481,0.8989,0.9796,0.2508,0.0807,334588.7218005414,2328711.8313608053,59294235.60004902,2584495.617602637,2873519.868707953,3204437.3483401868,3662250.9549830765,4282860.346144307,5370658.749256541,7941913.107800664,20417023.96601164,0.0,1078066.4146087945,1319392.6122843542,1599324.7641058948,1944388.7471187375,2386167.7181533896,2950968.0443177368,4037077.207463697,6567485.181849369,18978204.098020885,57621291.99104631,334589.0,68342,61671,35914,0.6842,3003222.348491425,2612647.134061973,393089.00352735014,2513.7890978978453,11028489.0,0.0037,6725,225070.66047559903,39924,25486,25485,73.3822901173506,1962481.426170958,10163,26761,8369,489.5880031289879,53498641.295244016,2406,9424,2060,3043.9099132813208
22,52390,0.945,0.8864,0.3335,0.6554,0.9027,0.9805,0.2473,0.0778,334104.1286498775,2412148.353572158,61950803.56861538,2676675.0962124425,2977338.2846590206,3341820.892614367,3829962.7285052347,4486959.521675488,5625681.946400046,8211496.055158185,21020067.69113046,0.0,1155498.2377641473,1411075.3213157738,1697192.8798143116,2061550.7559440397,2531675.488039023,3136701.161654935,4240714.516055133,6804580.974451217,19470437.841168236,60520165.46589787,334104.0,69367,61682,35875,0.6848,3147888.359025292,2757020.224351572,393361.53585382213,2493.401180101413,11269392.0,0.0037,6860,225506.64233152536,39899,25486,25485,74.79616286458216,2053839.021482282,10110,26772,8343,504.1522236984812,56764413.73362607,2381,9424,2047,3140.9663069726657
23,52253,0.9507,0.8813,0.3769,0.6507,0.8972,0.9792,0.2465,0.0819,377099.85653892223,2702394.251751958,64576989.74344048,2981244.4055687543,3310204.730643599,3696357.2276498163,4214324.8129728865,4908478.526739544,6079567.756829483,8783463.532385206,21993808.40519067,0.0,967053.4817614983,1231521.8392975184,1553028.3087851575,1922248.7380768142,2438941.2433014363,3075167.8019966455,4250429.830688725,6818334.9140067985,19730203.573086202,62594829.41356891,377100.0,70407,69122,35863,0.6863,3355482.676651295,2859192.157272691,498840.1868540253,2549.6674754204105,12074727.0,0.0039,6934,254102.45190473547,39818,25499,25486,75.9619990751864,2289534.394299287,10070,32333,8339,473.8601883114886,60110179.07929114,2365,11290,2038,3129.7966454230605
24,52229,0.9526,0.8836,0.3906,0.6571,0.8995,0.9796,0.2424,0.0801,387815.748333196,2803565.85076001,67517080.98584372,3113046.371402461,3459228.944651814,3868799.0581218423,4399998.334492385,5121675.324306673,6358276.46899456,9024490.023909125,21838442.60515548,0.0,938858.7265278489,1233074.9449984715,1569949.6426549857,1968455.099817816,2480260.911708422,3198431.4134999947,4343474.561325548,6849699.72480585,19555550.503867403,64902457.22917664,387816.0,71463,71463,35866,0.6867,3532919.449229267,3004835.1472388133,530633.8781737193,2549.5761832659646,12323277.0,0.0039,7001,261526.4792507713,39828,25499,25486,77.10071407329005,2411803.7918670103,10054,33704,8350,478.5801447365068,63850233.47880901,2347,12260,2030,3048.1790857363803
25,52125,0.9533,0.887,0.3976,0.6625,0.9027,0.9803,0.2402,0.0776,390775.371131279,2883797.8549773064,70856356.07010737,3210051.978505606,3576890.995978106,4000420.318414488,4566119.471198865,5336330.300749899,6612076.6401289515,9330428.229193429,22624472.66791476,0.0,962088.5980907882,1293729.5971126922,1628829.0628611438,2047509.699490797,2596972.7886872776,3364795.2465216587,4555678.312516855,7147576.51672083,19814248.297150664,68383253.25532222,390775.0,72534,72534,35831,0.6874,3705164.816828509,3163873.850460045,543779.3912640036,2488.4248955407447,12551666.0,0.004,7035,264424.03438867873,39773,25499,25486,78.15298669571725,2515855.656064646,10018,34145,8333,487.51309802981064,67442560.83761331,2334,12890,2012,3116.1998183559726
26,52024,0.9542,0.8905,0.4044,0.6697,0.906,0.981,0.2362,0.075,394095.27633431944,2963501.760942123,74031353.76549888,3305522.7379461974,3697165.774351499,4143664.59765938,4754972.795042474,5579835.006437462,6908621.747737547,9696925.072078845,22929838.9951175,0.0,1003156.8347722297,1344372.442876889,1718718.6462327465,2162842.14871724,2738264.6271768524,3543565.6474695993,4810623.803886382,7375770.548671462,20003493.651780117,70895683.32525766,394095.0,73622,73622,35839,0.6889,3896014.31171843,3340773.9688197277,557705.7210957493,2465.3781970467244,13118210.0,0.0041,7101,267536.5760470481,39714,25499,25486,79.11028931318104,2624331.848845318,9996,34512,8342,501.129929512847,71663128.69950275,2314,13611,2011,3149.940892547673
27,51831,0.9551,0.8941,0.4113,0.6777,0.9092,0.9816,0.2315,0.0724,397795.2408911651,3037270.2176278224,76301778.96653494,3401262.034480499,3826515.0625771517,4287562.761225418,4942909.865891354,5796393.074630028,7181583.175151496,10077265.811379395,23708278.88842803,0.0,1041880.8282078974,1402740.3736327759,1810776.8267164459,2261936.4863205785,2898707.26109758,3745446.5952430484,5057002.912244021,7757090.376524742,20525916.961298708,72607893.80110317,397795.0,74726,74726,35815,0.691,4116145.545512261,3545108.2190481974,573510.9716353767,2473.6451713127553,13012319.0,0.004,7035,271285.0809165768,39592,25502,25486,80.05512761936657,2743497.7386968904,9940,34864,8324,513.3735050705063,76264833.98136137,2299,14360,2005,3153.0502228359596
28,51642,0.9557,0.8964,0.4189,0.6829,0.9112,0.982,0.2283,0.0709,401840.4065398953,3115660.4626010237,78907177.00042774,3499557.570945272,3933126.4092561696,4427327.1737589855,5119840.658232015,6030519.646109451,7453944.367839482,10373471.603632122,23929041.58173031,0.0,1069256.5562037039,1460283.0673640682,1887371.1001966747,2367258.717741528,3007683.95995408,3933755.9085207125,5253814.593453647,7967642.592622953,20532598.90701233,75492414.64793836,401840.0,75846,75846,35737,0.692,4285397.577286912,3697648.596730564,590178.2943035688,2429.3137472199055,13244507.0,0.004,7007,274900.4689856914,39526,25502,25486,80.55903068944944,2877410.0855084327,9845,35160,8270,525.8859735973613,80190525.52060403,2271,15184,1981,3127.440672228879
29,51481,0.9565,0.8994,0.4263,0.6894,0.9139,0.9826,0.2246,0.0687,406212.01263947843,3197199.6834412133,82161043.50849988,3616309.492271343,4073918.857603076,4584802.848878864,5306767.561281426,6287777.34413773,7722848.757038332,10754329.125536751,24442979.769070268,0.0,1118333.960776692,1530891.8953123481,1978516.3999532573,2489480.5221098,3157087.981933858,4124598.743100993,5459777.166898254,8327446.218002799,20647628.05181897,78044326.65783751,406212.0,76983,76983,35699,0.6934,4509417.392646348,3904345.808225227,607436.1292326289,2364.544811506951,13621801.0,0.0041,6978,278909.19754469313,39432,25504,25486,81.38890180155732,3007399.0317866597,9805,35415,8254,539.6824993036721,85411685.2970482,2244,16064,1959,3208.475610669297
