ano,gini_total_mean,gini_total_p025,gini_total_p500,gini_total_p975,gini_financeiro_mean,gini_financeiro_p025,gini_financeiro_p500,gini_financeiro_p975,share_top1_mean,share_top1_p025,share_top1_p500,share_top1_p975,share_top10_mean,share_top10_p025,share_top10_p500,share_top10_p975,share_top50_mean,share_top50_p025,share_top50_p500,share_top50_p975,taxa_propriedade_mean,taxa_propriedade_p025,taxa_propriedade_p500,taxa_propriedade_p975,preco_imovel_mean,preco_imovel_p025,preco_imovel_p500,preco_imovel_p975,populacao_mean,populacao_p025,populacao_p500,populacao_p975,riqueza_media_mean,riqueza_media_p025,riqueza_media_p500,riqueza_media_p975,riqueza_media_c0_mean,riqueza_media_c0_p025,riqueza_media_c0_p500,riqueza_media_c0_p975,riqueza_media_c1_mean,riqueza_media_c1_p025,riqueza_media_c1_p500,riqueza_media_c1_p975,riqueza_media_c2_mean,riqueza_media_c2_p025,riqueza_media_c2_p500,riqueza_media_c2_p975,frac_rent_renda_mean,frac_rent_renda_p025,frac_rent_renda_p500,frac_rent_renda_p975,divida_media_mean,divida_media_p025,divida_media_p500,divida_media_p975
20,0.87856,0.87066,0.87755,0.892075,0.9473649999999999,0.9447475,0.94695,0.952275,0.6558200000000001,0.641295,0.65065,0.6851149999999999,0.8949299999999999,0.887525,0.89435,0.90684,0.978595,0.9768375,0.97845,0.9808825,0.681555,0.67828,0.6813,0.68541,336600.15,333392.325,335838.0,340497.375,52691.9,52331.8,52713.5,52990.875,2848290.7761516143,2640654.346729464,2816212.27897324,3251689.6826446373,225366.99268843298,223442.9792975018,224837.3807160022,227545.4924676759,1820819.138712439,1786342.4004916314,1820164.6432337053,1865031.0894547896,50472403.048321836,46575575.40886206,49566014.74950867,57556848.20193148,0.0038199999999999996,0.0036,0.0038,0.0040525,2517.937020909058,2407.1533365199703,2499.1781402202164,2685.3142031308344
21,0.8831199999999999,0.8753949999999999,0.88175,0.8967225,0.947405,0.9448424999999999,0.9469000000000001,0.952475,0.6620250000000001,0.6465275,0.6566,0.6915825,0.899205,0.8921025,0.8985000000000001,0.9112349999999999,0.97956,0.97789,0.9794,0.98193,0.68266,0.6793475,0.6823,0.68641,335385.5,332353.725,334747.5,338961.75,52606.0,52237.425,52599.5,52908.25,2991846.890074376,2767476.886703728,2958980.9667509943,3439976.4822590444,225410.39593534675,223543.1268808099,224993.9532960289,227342.0149339978,1898568.4931832615,1860823.2496804276,1894783.291357119,1947427.6165056569,53462592.72910964,49289681.70816514,52527482.73714772,61369647.67308762,0.0038649999999999995,0.0037,0.0039,0.004,2535.3019551865937,2426.392423789751,2522.09068290145,2713.9605027238986
22,0.8874650000000001,0.87958,0.88605,0.9003275,0.947575,0.945095,0.9471499999999999,0.952685,0.6682300000000001,0.6520025,0.6632,0.696855,0.9033200000000001,0.89607,0.9026,0.9145925,0.980465,0.978795,0.9803,0.98263,0.68404,0.6809275,0.6841,0.68824,334784.75,331880.125,334256.5,338046.4,52490.2,52084.125,52492.5,52788.1,3147526.5838962453,2898828.4329587827,3114555.607023336,3610920.983278719,225944.4072036106,223965.57425105257,225580.74694991705,228041.0123022651,1983271.3629862189,1941325.127312938,1980201.6467206343,2037092.9212442797,56733844.85006012,51991443.69861859,55655959.30582215,64940660.85205047,0.003915,0.0037,0.0039,0.0041,2558.166320459636,2441.5603715144994,2551.638484832226,2731.718584370596
23,0.88494,0.876335,0.8842,0.8960699999999999,0.95167,0.9463174999999999,0.9515,0.9574225,0.6659849999999999,0.6495974999999999,0.66435,0.6923475,0.9004899999999999,0.8917725,0.9,0.9099825,0.97976,0.977685,0.97985,0.9817199999999999,0.685335,0.6822275,0.6853,0.68944,366422.4,336729.45,375593.5,378057.625,52376.85,51977.775,52382.0,52683.35,3348283.4007243314,3081118.8088764367,3305958.0897456203,3853606.5833264166,247096.9507081191,227224.05856017905,252714.19526899507,255972.65815590564,2176548.7441412457,2040998.0812702074,2202105.5704483325,2268476.9541822635,60244569.29020784,55458076.29564417,58826223.806117564,68984709.21573924,0.00396,0.0038,0.0039,0.0041525,2577.37722421991,2438.8413928756445,2568.6706392725177,2779.9212200584984
24,0.8853249999999999,0.8779175,0.88385,0.8978275,0.954205,0.9511075,0.95355,0.9590650000000001,0.66792,0.652505,0.6627,0.6961575,0.9006700000000001,0.8933924999999999,0.89945,0.9115925,0.9797499999999999,0.97799,0.9796,0.9817825,0.68642,0.682985,0.6861,0.6912625,384697.35,375676.0,387081.5,389899.6,52266.9,51804.225,52284.5,52573.25,3538095.335268182,3244544.5478944844,3499201.809742581,4070136.1317469645,259723.24079956842,252872.7436650225,260963.07272507757,264645.6439998948,2325862.551234768,2258161.1479264554,2325310.7879106314,2393506.746893538,63851404.11685991,58386881.52281939,62452205.51154541,73264193.13894035,0.00399,0.0039,0.004,0.0041,2568.2412006291916,2399.968423777911,2569.2015889119266,2757.635804090388
25,0.888145,0.87998,0.8871,0.9015225,0.9552099999999999,0.9528325000000001,0.95455,0.9598075,0.67276,0.65708,0.6693,0.702585,0.9032899999999999,0.8959225,0.90255,0.9150925,0.980285,0.9786425,0.9803,0.9825349999999999,0.68775,0.68399,0.68765,0.6924575000000001,390915.65,388264.525,390912.5,393293.0,52139.5,51689.875,52139.0,52430.35,3721333.0252601854,3409006.903040192,3672029.00558646,4305731.977318434,264747.1682008896,262971.3812047381,264444.58791710425,267650.8885116787,2438146.475500562,2384756.149216443,2432721.9916566405,2501647.645659642,67673049.60168818,61754957.33725232,66031203.82271846,78217140.1521403,0.004035,0.0038475,0.004,0.0042,2543.1215747348733,2399.5404832599274,2539.466481322922,2719.64573681155
26,0.89158,0.883285,0.8904,0.904665,0.9559150000000001,0.9535275,0.95535,0.960555,0.678695,0.6623975,0.6745,0.7085075,0.90649,0.8989174999999999,0.90595,0.917935,0.9809599999999999,0.9792425,0.98095,0.983135,0.6891149999999999,0.6857275,0.68895,0.694315,394183.7,391570.8,394206.0,396538.4,51992.65,51504.1,52015.5,52292.775,3915416.2508875355,3573018.8614536035,3860613.3023985573,4536437.212840907,267953.53975301527,266078.2195863972,267516.8918395238,271196.5092922059,2545728.949242389,2488225.9335481683,2542106.6063102763,2610742.456862477,71835129.7053465,65348845.24481573,69743568.2924681,83189960.22294407,0.0040750000000000005,0.0039475,0.0041,0.0042,2504.3682137844894,2369.9284093284746,2508.1718636159785,2653.4355138909414
27,0.89459,0.887085,0.8939,0.907245,0.9564999999999999,0.953585,0.9558,0.9610449999999999,0.6839850000000001,0.66588,0.6808000000000001,0.713265,0.90923,0.9023225,0.9081,0.9202675,0.981535,0.9799424999999999,0.9815,0.98363,0.6905249999999999,0.686775,0.69045,0.6959525,397802.55,395229.825,397890.5,400133.7,51835.5,51321.125,51864.5,52165.8,4108208.107210465,3763336.1495141736,4051255.3992438526,4761215.02678228,271411.8543859776,269539.7186679837,271040.23299602955,274891.9259900131,2660657.3225952378,2598873.9444957175,2656301.895834929,2729205.288751202,76040005.97368413,69565910.98505174,73814056.62317625,87869084.78415449,0.004065,0.0039,0.0041,0.004252499999999999,2477.141759535104,2348.0590781328156,2468.891133146335,2668.906091776026
28,0.8974949999999999,0.8903424999999999,0.89635,0.9100025,0.95712,0.95418,0.95645,0.9618025,0.6895,0.671285,0.68685,0.7190925,0.9118550000000001,0.90508,0.9111,0.9226775,0.98209,0.9805,0.982,0.9840825000000001,0.69184,0.6877800000000001,0.692,0.697725,401764.9,399220.625,401871.0,404057.9,51668.5,51153.5,51687.0,52029.475,4311498.792614856,3955822.44668849,4254734.225416532,5004478.527813811,275138.0224430448,273283.246883927,274675.4510529267,278666.18445918243,2781379.9321200857,2713711.6919477517,2776161.133776268,2858930.117826954,80558376.76548353,73926827.49275981,78586646.2833619,93617929.29938099,0.004035,0.0038,0.0041,0.0042,2443.6793120961056,2335.200660654443,2437.231646118139,2592.6639987172284
29,0.9004300000000001,0.893895,0.8992,0.91191,0.957785,0.9549275,0.9571,0.9621325000000001,0.695265,0.676815,0.6918,0.7230575,0.9145199999999999,0.9085424999999999,0.91355,0.924375,0.9826900000000001,0.9813,0.98255,0.9845875,0.6930449999999999,0.6888949999999999,0.69295,0.6993050000000001,406056.95,403532.2,406234.0,408323.525,51507.7,50980.625,51492.5,51846.775,4532837.737523469,4176142.548186803,4475055.114811728,5230126.65936803,279058.27617520595,277153.55102525174,278488.5343939671,282730.85927002196,2908348.084627715,2834840.150617407,2905975.026035672,2990252.158642729,85482648.22448742,78762579.31037849,83414920.32319814,98424026.08392999,0.0040550000000000004,0.003795,0.0041,0.004252499999999999,2415.1238419804627,2295.449619833328,2420.043716576251,2564.6669173801242
