ano,populacao,gini_financeiro,gini_total,gini_imobiliario,share_top1,share_top10,share_top50,share_top10_excl_top1,share_top50_excl_top10,p50_riqueza,p90_riqueza,p99_riqueza,p91_riqueza,p92_riqueza,p93_riqueza,p94_riqueza,p95_riqueza,p96_riqueza,p97_riqueza,p98_riqueza,p50_capfin,p90_capfin,p91_capfin,p92_capfin,p93_capfin,p94_capfin,p95_capfin,p96_capfin,p97_capfin,p98_capfin,p99_capfin,preco_imovel,n_total_mercado,n_detidos_total,n_proprietarios,taxa_propriedade,riqueza_media,capital_medio,riqueza_imob_media,divida_media,rent_total_ano,frac_rent_renda,n_renters,riqueza_media_c0,pop_c0,n_imoveis_c0,n_proprietarios_c0,renda_diaria_mediana_c0,riqueza_media_c1,pop_c1,n_imoveis_c1,n_proprietarios_c1,renda_diaria_mediana_c1,riqueza_media_c2,pop_c2,n_imoveis_c2,n_proprietarios_c2,renda_diaria_mediana_c2,run_id
72,40108,0.9796,0.9665,0.6357,0.8721,0.9744,0.9936,0.1023,0.0193,778724.3751109026,11392802.509462155,264593007.45895496,13846514.450464139,17112576.58732846,20457046.94698868,24374737.958683804,30414724.56540679,39857429.352732405,54167315.764366,79511544.1368816,0.0,5047986.230044657,7396302.740588035,10019093.930699732,13845876.998198306,18707542.48516612,24876510.73819838,34213396.41095585,48098412.495426245,72541528.89956698,225802381.686273,778724.0,146001,104381,31974,0.7972,36386808.91468923,34363285.68328542,2026628.8271280325,3105.5957242216673,4926264.0,0.0009,729,675323.829333208,32564,25942,25581,178.32119590322677,21625794.42076245,6308,26106,5306,2501.3414827719885,1052585255.3121196,1236,52333,1087,1795.4555756405723,8
73,39963,0.9791,0.9659,0.6378,0.8688,0.9742,0.9935,0.1054,0.0194,792593.6227305899,11574441.228723152,266236532.00771248,14094335.163867736,17540850.169629782,21291526.46307848,25306706.768561024,31546634.80177815,41549541.64362233,55766501.106161684,82669145.79304369,0.0,5107353.001928479,7538109.714795972,10336214.731867956,14353355.003908407,19429115.113286734,25943975.551442478,35771554.34959711,49798674.527416766,76003642.47612613,214673034.82726014,792594.0,148191,104472,31905,0.7984,36477358.25401075,34408581.02099061,2072012.635535625,3235.4025154750116,5078667.0,0.001,672,689186.3580868533,32507,25956,25581,179.91563731049823,22721175.716604847,6246,25848,5258,2614.397487215118,1068946135.0717261,1210,52668,1066,1819.7003973838796,8
74,39767,0.9795,0.9671,0.6401,0.872,0.9754,0.9938,0.1034,0.0183,806694.4081161614,11818712.725685494,279725884.6516104,14467204.65395089,17872197.254014146,21875796.777738456,26222464.54101403,32857243.878562827,43516512.25157806,58279465.28820507,86888005.25070031,0.0,5151154.446072546,7741181.442648894,10567108.190032313,14765783.739071615,20057968.6953328,27052212.782285802,37672411.64208164,52209185.55421159,79938497.05529177,226326526.21430495,806694.0,150413,104700,31837,0.8006,38844304.60407233,36723711.459065214,2123894.297527148,3301.1525200252527,4714109.0,0.0009,590,704430.9200450557,32394,25962,25581,182.41651260330397,23844198.940163977,6179,25572,5202,2688.715877658437,1151230168.102958,1194,53166,1054,1897.7687317465936,8
75,39601,0.98,0.9681,0.6414,0.8754,0.9764,0.9939,0.101,0.0176,821139.4916959746,12085278.891916998,283044509.9338519,15017313.108172096,18549520.465800144,22893517.526258484,27399337.851354882,34341465.772403456,45354470.768726125,60606158.42572652,90499536.14891922,0.0,5224661.488256076,7943144.033149545,11082531.244597737,15456507.832496773,20979852.12549422,28607169.80975445,39379111.844567046,54600526.229463525,83798897.41461173,218154408.50412259,821139.0,152669,104705,31786,0.8027,41076158.71001697,38908386.34878535,2171091.903689983,3319.54245836514,4931964.0,0.0009,563,720171.2309206577,32281,25967,25581,187.27517315446644,25126339.050270777,6143,25433,5173,2775.918040775464,1231145295.4836183,1177,53305,1032,1890.2161453693273,8
76,39435,0.9805,0.969,0.643,0.8784,0.9772,0.9941,0.0987,0.017,835987.2113146392,12361709.367842361,271184251.85310894,15354885.482869828,19079671.486701824,23490184.281125017,28465592.367657967,35714338.8315166,47084789.35288739,62938935.01609611,94047092.08503959,0.0,5267488.718022268,8082607.441372744,11430878.48899897,16007218.309860853,21651124.325472504,29748504.509610463,40781817.44578273,56711022.969984785,86762496.34897375,218441543.2812776,835959.0,154959,104672,31645,0.8025,43142767.23202724,40927368.14544366,2218880.304317825,3481.217734244374,4081051.0,0.0007,450,735571.9246512454,32189,25980,25495,188.6542953004627,26326475.958557405,6090,25220,5132,2889.819846702903,1312568739.208288,1156,53472,1018,1874.903318873659,8
77,39356,0.981,0.97,0.6449,0.8814,0.9782,0.9944,0.0968,0.0162,851027.334618569,12485882.562929189,282714739.98265463,15818654.219576173,19613907.648555398,24367946.140456364,29460904.932957605,37249529.35222851,48805541.36170088,65803081.20654235,98677500.51311943,0.0,5315580.15621877,8191919.047317201,11833882.539390596,16576457.794553693,22562597.199215505,31084165.14465191,42658698.57484464,59704315.74269935,90735005.33152829,224513692.41921225,851027.0,157283,104855,31570,0.8022,45623308.05242954,43359466.133401,2267366.3779710857,3524.458942540495,4833632.0,0.0009,452,749943.1020052604,32167,25992,25470,191.08014504897048,27614883.053218983,6049,25023,5099,2969.6952285263055,1407355319.6142912,1140,53840,1001,1922.423163937624,8
78,39163,0.9814,0.971,0.6469,0.8845,0.9792,0.9946,0.0947,0.0154,866490.3610894346,12656024.313492391,277053005.352992,16181205.139343765,20029454.251672063,25202753.250081297,30524883.41942122,38701529.298672676,50573429.854442455,68465074.26044014,102425085.36076947,0.0,5265806.237240835,8235780.981768238,12081533.591833632,17099412.1091183,23479512.30515532,32068334.156387277,44183174.66960435,62427656.713057585,95529371.41335863,231478483.37977895,866490.0,159642,104796,31382,0.8013,48285615.4062083,45970593.667188786,2318635.545814376,3613.806794864958,3664464.0,0.0007,419,766913.9458521367,32053,26001,25372,194.33942965708118,28988457.041591097,5980,24697,5023,3067.9522630429265,1498297956.0515242,1130,54098,987,1930.765701717602,8
79,38938,0.9815,0.9712,0.6477,0.8847,0.9795,0.9947,0.0948,0.0151,882355.0075334719,12734168.197319966,272071134.0676203,16402828.123415947,20752395.376842003,26244389.676662896,31809988.0681329,40278789.18111187,52650238.186748505,71451569.36016998,107239737.7525029,0.0,5162087.195895359,8219709.798772017,12169351.06109776,17613045.49922752,24521008.814232346,33433314.807735093,45982197.54141926,65263672.74497718,99572552.44355802,231809777.10488057,882355.0,162036,104406,31198,0.8012,49755750.50401986,47393623.163676955,2365893.3924839403,3766.052141032235,3761505.0,0.0007,428,784864.0017125856,31916,26016,25258,198.70475454656304,30509829.631152384,5910,24443,4967,3177.116078110743,1557577878.171543,1112,53947,973,1960.6838642344258,8
80,38778,0.9817,0.9716,0.6491,0.8853,0.98,0.9948,0.0947,0.0147,898519.0468132164,12735040.404647622,273137957.4952751,16775852.740109095,21422021.059968114,27039368.033486206,32889234.05124172,41666974.30694037,54769871.177284025,74838373.83453241,112743657.99753474,0.0,5145378.600299617,8145228.749207741,12482498.09670966,18004886.58371731,25340323.889304988,34580879.24510295,47972799.75716407,67867097.85794683,103708475.30944219,241696801.8521684,898515.0,164466,104215,31046,0.8006,51566926.91544888,49156058.847877376,2414737.708557469,3869.6409859594346,4339854.0,0.0008,408,801996.5360620257,31834,26025,25179,201.93667226657797,32041671.679324646,5853,24182,4914,3289.9281104272345,1637572529.66012,1091,54008,953,1996.1810444650123,8
81,38612,0.9818,0.9721,0.6511,0.886,0.9806,0.9949,0.0946,0.0142,914984.2789628136,12938002.133287974,278852842.6684478,17203216.734158184,22094868.6276001,28242650.90461928,34368399.67147145,43705257.01337782,57272803.10061815,78276552.37345138,118086899.82819128,0.0,5215155.347290016,8409818.613000648,13072783.5451558,18985741.776849087,26718346.150818884,36277012.72791392,50424033.427770145,71136789.2868944,109214469.19518434,252402430.1181642,914984.0,166932,104337,30944,0.8014,53848571.25690876,51380048.21743173,2472462.3100109575,3939.2705339231907,4423737.0,0.0008,461,819502.3948317085,31748,26038,25137,207.29839493947603,33884629.04921022,5795,23992,4873,3431.134486170587,1736971043.966764,1069,54307,934,2067.080046123225,8
