tipo_ente;cod_ibge;tipo_receita;ano;DCA;RREO;SIOPS;SIOPE;DCA2
Estado;28;ICMS;2019;3417325233,61;3518877396,85;;;3518877396,85
Estado;28;ICMS;2020;3397604245,66;3498299444,72;;;3498299444,72
Estado;28;ICMS;2021;4140053113,18;4246252466,09;;;4246252466,0899997
Estado;28;ICMS;2022;4471823565,75;4563523937,54;;;4563523937,54
Estado;28;ICMS;2023;4894829499,1;5026932173,94;;;5026932173,940001
Estado;28;ICMS;2024;5382660989,44;5608879032,77;;;5608879032,77
Estado;28;ICMS;2025;5843793660,31;6095788956,69;;;6095788956,690001
Estado;28;LC194;2023;;;;;130300000,0
Estado;29;ICMS;2019;23799996079,42;24717072876,93;;;24717431902,8
Estado;29;ICMS;2020;23919488925,08;24902441199,24;;;24902441199,240005
Estado;29;ICMS;2021;30004498565,05;31192924695,41;;;31192924695,409996
Estado;29;ICMS;2022;32548661107,93;33249026669,43;;;33249026669,43
Estado;29;ICMS;2023;33744504991,29;34491946020,18;;;34491946020,18
Estado;29;ICMS;2024;38966149326,04;39497020151,68;;;39497020151,68
Estado;29;ICMS;2025;41451495168,11;41998968646,68;;;41998968646,68
Estado;29;LC194;2023;;;;;800030000,0
Estado;29;LC194;2025;;;;;266670000,0
Estado;31;ICMS;2019;51312219431,78;51981254180,8;;;51981254180,799995
Estado;31;ICMS;2020;51780327901,84;52523561882,98;;;52509448731,78
Estado;31;ICMS;2021;67163094135,37;67951276113,48;;;67891975280,450005
Estado;31;ICMS;2022;69829494004,02;70717964392,61;;;70717964392,61
Estado;31;ICMS;2023;71903704940,41;72002914431,06;;;72002914431,06001
Estado;31;ICMS;2024;80562667364,45;81523297330,91;;;81523297330,91
Estado;31;ICMS;2025;86617805155,56;87712076044,45;;;87712076044,45001
Estado;31;LC194;2023;;;;;177496049,97
Estado;31;LC194;2025;;;;;840439183,7
Estado;32;ICMS;2019;11359781521,95;11412477440,09;;;11412477440,09
Estado;32;ICMS;2020;11871457440,3;11924539407,86;;;11924539407,859999
Estado;32;ICMS;2021;15333611913,86;15398157881,24;;;15398157881,24
Estado;32;ICMS;2022;16575624991,09;16651163707,04;;;16651163707,04
Estado;32;ICMS;2023;17656415017,17;17733378620,83;;;17733378620,829998
Estado;32;ICMS;2024;20804357747,13;20888555332,12;;;20888555332,120003
Estado;32;ICMS;2025;22519755234,49;22615846716,82;;;22615846716,820004
Estado;32;LC194;2023;;;;;534980458,38
Estado;32;LC194;2025;;;;;178318353,79
Estado;33;ICMS;2019;36953658209,33;36950382072,0;;;41519003852,15
Estado;33;ICMS;2020;38696169428,05;38692926605,08;;;43582737273,770004
Estado;33;ICMS;2021;47020359957,94;53067624797,54;;;53067624797,54001
Estado;33;ICMS;2022;44887689828,32;50773538276,57;;;50773538276,57
Estado;33;ICMS;2023;43884126245,26;49775817400,13;;;49775817400,130005
Estado;33;ICMS;2024;50255279323,68;56894602954,23;;;56894602954,229996
Estado;33;ICMS;2025;55603869791,94;62386507272,83;;;62386507272,83
Estado;33;LC194;2023;;;;;2834599999,98
Estado;33;LC194;2025;;;;;807700000,0
Estado;35;ICMS;2019;148368899499,47;149065122716,2;;;149065122716,2
Estado;35;ICMS;2020;148634090672,31;149339299258,4;;;149339299258,4
Estado;35;ICMS;2021;187590684882,66;188360756434,93;;;188360756434,93
Estado;35;ICMS;2022;203110603677,82;203977683841,82;;;203977683841,82
Estado;35;ICMS;2023;195782456800,39;196690936765,78;;;196690936765,78003
Estado;35;ICMS;2024;222848196633,32;223844100208,03;;;223844100208,03
Estado;35;ICMS;2025;237071553843,02;238061225357,02;;;238061225357,02
Estado;35;LC194;2023;;;;;3776820000,0
Estado;41;ICMS;2019;31199208571,24;30896531540,82;;;31416662448,150005
Estado;41;ICMS;2020;31144784546,11;31392396857,81;;;31392396857,81
Estado;41;ICMS;2021;38476286534,12;39072064259,0;;;39072064259,00001
Estado;41;ICMS;2022;41284608405,42;42216673874,77;;;42216673874,770004
Estado;41;ICMS;2023;44084211768,32;44609334808,82;;;44609334808,82
Estado;41;ICMS;2024;51045873290,26;51674948955,47;;;51674948955,47
Estado;41;ICMS;2025;52742155677,36;53382822594,19;;;53382822594,189995
Estado;41;LC194;2023;;;;;1376030000,0
Estado;41;LC194;2025;;;;;458670000,0
Estado;42;ICMS;2019;23750227231,99;23744802845,5;;;23744802845,5
Estado;42;ICMS;2020;23959562688,46;23938422018,35;;;23938422018,35
